"['Praise You', 'Fatboy Slim']"
"[""I'm Gonna Getcha Good!"", 'Shania Twain']"
"[""We'll Be A Dream"", 'WE the Kings Featuring Demi Lovato']"
"['Another Minute', 'Cause And Effect']"
"['Why I Love You', 'B2K']"
"['Shame (From ""A Low Down Dirty Shame"")', 'Zhane']"
"['Sunny And 75', 'Joe Nichols']"
"['Connection', 'Elastica']"
"['Little Good-Byes', 'SHeDAISY']"
"['Blurry', 'Puddle Of Mudd']"
"['Truffle Butter', 'Nicki Minaj Featuring Drake & Lil Wayne']"
"['Promise Me', 'Lil Suzy']"
"['Peacekeeper', 'Fleetwood Mac']"
"['1979', 'The Smashing Pumpkins']"
"[""F**k It (I Don't Want You Back)"", 'Eamon']"
"['Lies', 'En Vogue']"
"['Control', 'Puddle Of Mudd']"
"['Beyond The Invisible', 'Enigma']"
"[""U Know What's Up"", 'Donell Jones']"
"['Like I Do', 'For Real']"
"[""Can't Deny It"", 'Fabolous Featuring Nate Dogg']"
"['Calling My Spirit', 'Kodak Black']"
"['Perfect World', 'Alias']"
"['My Heart Is Calling (From ""The Preacher\'s Wife"")', 'Whitney Houston']"
"['Girlfight', 'Brooke Valentine Featuring Lil Jon & Big Boi']"
"['Somebody That I Used To Know', 'Glee Cast']"
"['Salt Shaker', 'Ying Yang Twins Featuring Lil Jon & The East Side Boyz']"
"['Pain', 'Jimmy Eat World']"
"['When You Say Nothing At All', 'Alison Krauss + Union Station']"
"['My Moment', 'DJ Drama Featuring 2 Chainz, Meek Mill & Jeremih']"
"['Get Up 10', 'Cardi B']"
"['I Wish', 'Jo Dee Messina']"
"['Bop To The Top', 'Lucas Grabeel & Ashley Tisdale']"
"['(Meet) The Flintstones (From ""The Flintstones"")', ""The B.C. 52's""]"
"[""Pullin' Me Back"", 'Chingy Featuring Tyrese']"
"['I Miss You', 'Aaron Hall']"
"['Recover Your Soul', 'Elton John']"
"['Rise', 'Katy Perry']"
"['The Power Of Good-Bye', 'Madonna']"
"['Thuggish Ruggish Bone', 'Bone Thugs-N-Harmony']"
"[""It's Alright"", 'Queen Latifah']"
"['All Star', 'Smash Mouth']"
"['Something Just Like This', 'The Chainsmokers & Coldplay']"
"['Riddle', 'En Vogue']"
"['Another Side Of You', 'Joe Nichols']"
"['Throw Your Set In The Air', 'Cypress Hill']"
"['Karma', 'Lloyd Banks Featuring Avant']"
"['Wild Horses', 'Garth Brooks']"
"[""How Far I'll Go"", 'Alessia Cara']"
"['Thunder', 'Imagine Dragons']"
"['Your Love Is A...', 'Whitehead Bros.']"
"['Where Would You Be', 'Martina McBride']"
"['Inside That I Cried', 'CeCe Peniston']"
"['Galileo', 'Indigo Girls']"
"['Because I Love You (The Postman Song)', 'Stevie B']"
"['Everyone Falls In Love', 'Tanto Metro & Devonte']"
"['Leave The Pieces', 'The Wreckers']"
"['Back In Time', 'Pitbull']"
"['Lips Are Movin', 'Meghan Trainor']"
"['Thank You', 'Dido']"
"['Heartspark Dollarsign', 'Everclear']"
"['Who Can I Run To', 'Xscape']"
"['Lights, Camera, Action!', 'Mr. Cheeks']"
"['Days Of Gold', 'Jake Owen']"
"['Free', 'Mya']"
"['Rodeo', '95 South']"
"['Street Dreams', 'Nas']"
"['Tell Me What You Dream', 'Restless Heart Featuring Warren Hill']"
"['Still Not A Player', 'Big Punisher Featuring Joe']"
"[""It's On"", 'Naughty By Nature']"
"[""You'll Be Mine (Party Time)"", 'Gloria Estefan']"
"['High Hopes', 'Panic! At The Disco']"
"['Clint Eastwood', 'Gorillaz']"
"['Shot Clock', 'Ella Mai']"
"['Under And Over It', 'Five Finger Death Punch']"
"['Good Time', 'Owl City & Carly Rae Jepsen']"
"['Gone', ""'N Sync""]"
"['Hold On', 'Alabama Shakes']"
"['Never Be The Same', 'Camila Cabello']"
"['Life Goes On', 'Poison']"
"['Hail To The King', 'Avenged Sevenfold']"
"['Fly On The Wall', 'Miley Cyrus']"
"['Crazy Town', 'Jason Aldean']"
"[""It's Goin' Down"", 'X-Ecutioners']"
"['Was It Nothing At All', 'Michael Damian']"
"[""Baby Don't Lie"", 'Gwen Stefani']"
"['Hypnotize', 'The Notorious B.I.G.']"
"['Work It (Reinvention)', 'Nelly']"
"['Say Something', 'A Great Big World & Christina Aguilera']"
"['My Last', 'Big Sean Featuring Chris Brown']"
"[""I'll Be There"", 'The Escape Club']"
"['Every Little Thing I Do', 'Soul For Real']"
"['Get Drunk And Be Somebody', 'Toby Keith']"
"['Back To Back', 'Drake']"
"['Written In The Sand', 'Old Dominion']"
"['She Thinks She Needs Me', 'Andy Griggs']"
"['The Great Escape', 'Boys Like Girls']"
"['Never Satisfied', 'Good 2 Go']"
"['Cooler Than Me', 'Mike Posner']"
"['So Fresh, So Clean', 'OutKast']"
"['Hell To The No', 'Glee Cast']"
"['Shine', ""Lil' Wayne Featuring Baby, Mack 10 & Mickey""]"
"['Tonight Looks Good On You', 'Jason Aldean']"
"['I Am', 'Mary J. Blige']"
"['Reality', 'Kenny Chesney']"
"['Too Good', 'Drake Featuring Rihanna']"
"[""Nothin 'Bout Love Makes Sense"", 'LeAnn Rimes']"
"[""Feels Good (Don't Worry Bout A Thing)"", 'Naughty By Nature Featuring 3LW']"
"['Just Another Day In Paradise', 'Phil Vassar']"
"[""Don't You Wanna Be Mine"", 'Denise Lopez']"
"['Do You Know? (The Ping Pong Song)/Dimelo', 'Enrique Iglesias']"
"['Call It What You Want', 'Taylor Swift']"
"['Baby One More Time', 'Glee Cast']"
"[""You Don't Have To Love Me"", 'Monifah']"
"['Baby Girl', 'Sugarland']"
"['Give It 2 You', 'Da Brat']"
"['How I Feel', 'Flo Rida']"
"['Exhale (Shoop Shoop) (From ""Waiting To Exhale"")', 'Whitney Houston']"
"['Pimp Juice', 'Nelly']"
"['Ask Me How I Know', 'Garth Brooks']"
"['Bubble Butt', 'Major Lazer Featuring Bruno Mars, Tyga & Mystic']"
"[""Cost Of Livin'"", 'Ronnie Dunn']"
"['Step To This', 'Master P Featuring D.I.G.']"
"[""Don't Wanna Know"", 'Maroon 5 Featuring Kendrick Lamar']"
"['Take Back The Night', 'Justin Timberlake']"
"['I Am Woman', 'Jordin Sparks']"
"['Take Time', 'Chris Walker']"
"['Strange Currencies', 'R.E.M.']"
"['Jeremy/Yellow Ledbetter', 'Pearl Jam']"
"['Getting Away With It', 'Electronic']"
"[""Halle Berry (She's Fine)"", 'Hurricane Chris Featuring SupaSTAAR']"
"['Missing You', 'Brooks & Dunn']"
"['Trophies', 'Young Money Featuring Drake']"
"['Vivir Mi Vida', 'Marc Anthony']"
"['Last Chance', 'Ginuwine']"
"[""Cryin' For Me (Wayman's Song)"", 'Toby Keith']"
"['Mmm Yeah', 'Austin Mahone Featuring Pitbull']"
"['No Role Modelz', 'J. Cole']"
"[""Conceited (There's Something About Remy)"", 'Remy Ma']"
"['21 Questions', '50 Cent Featuring Nate Dogg']"
"['Truck Yeah', 'Tim McGraw']"
"['Innocent', 'The Whispers']"
"['Cold World', 'Genius/GZA Featuring Inspektah Deck']"
"['Holding You Down (Goin In Circles)', 'Jazmine Sullivan']"
"['Girls, Girls, Girls', 'JAY-Z']"
"['Sexual Healing', 'Max-A-Million']"
"['Natural', 'Imagine Dragons']"
"['One More Try', 'Divine']"
"['Sleep Without You', 'Brett Young']"
"['What The World Needs Now Is Love', 'Dionne Warwick And The Hip-Hop Nation United']"
"['Skyfall', 'Adele']"
"[""Can't Believe"", 'Faith Evans Featuring Carl Thomas']"
"['The Choice Is Yours', 'Black Sheep']"
"['Let Me Love You (Until You Learn To Love Yourself)', 'Ne-Yo']"
"['Play My Music', 'Jonas Brothers']"
"['Candy Paint', 'Post Malone']"
"['Punks Jump Up To Get Beat Down', 'Brand Nubian']"
"['When I Fall In Love (From ""Sleepless In Seattle"")', 'Celine Dion And Clive Griffin']"
"['Never Enough', 'Loren Allred']"
"['Welcome To My Hood', 'DJ Khaled Featuring Rick Ross, Plies, Lil Wayne & T-Pain']"
"['Booti Call', 'BLACKstreet']"
"['Figure Of Eight', 'Paul McCartney']"
"['Money In The Bank', 'Swizz Beatz']"
"['Lighters', 'Bad Meets Evil Featuring Bruno Mars']"
"['Cover You In Kisses', 'John Michael Montgomery']"
"['Not A Dry Eye In The House', 'Meat Loaf']"
"[""Don't Know Why"", 'Norah Jones']"
"['Some Nights', 'fun.']"
"['Woof Woof', '69 Boyz']"
"['What About Now', 'Lonestar']"
"['Something', 'Lasgo']"
"['After The Rain', 'Nelson']"
"['All Of The Lights', 'Kanye West']"
"['Leave It All To Me (iCarly Theme Song)', 'Miranda Cosgrove Featuring Drake Bell']"
"['Stay The Night', 'IMx']"
"['Imagination', 'Xymox']"
"['Mega Medley', 'Zapp & Roger']"
"['Paranoid', 'Post Malone']"
"['The Reason', 'Hoobastank']"
"['Settle Down', 'No Doubt']"
"[""I'll Get By"", 'Eddie Money']"
"['The Red', 'Chevelle']"
"['Brother', 'NEEDTOBREATHE Featuring Gavin DeGraw']"
"['Groovy Train', 'The Farm']"
"['Upgrade U', 'Beyonce Featuring Jay Z']"
"['Holiday', 'Green Day']"
"['Nuketown', 'Ski Mask The Slump God Featuring Juice WRLD']"
"['If Wishes Came True', 'Sweet Sensation']"
"['Nuthin\' But A ""G"" Thang', 'Dr. Dre']"
"['Up On The Ridge', 'Dierks Bentley']"
"['Leave A Light On', 'Belinda Carlisle']"
"['Monster', 'Fred Schneider']"
"['Teach Me How To Dougie', 'Cali Swag District']"
"['Pure', 'Lightning Seeds']"
"['Time Of Our Lives', 'Pitbull & Ne-Yo']"
"['Addictive', 'Truth Hurts Featuring Rakim']"
"['Cowboys And Angels', 'Dustin Lynch']"
"['Perfect', 'Ed Sheeran']"
"['What Them Girls Like', 'Ludacris Co-Starring Chris Brown & Sean Garrett']"
"['Blessings', 'Big Sean Featuring Drake']"
"['Both Sides Of The Story', 'Phil Collins']"
"['Doll Parts', 'Hole']"
"['Sunshine & Whiskey', 'Frankie Ballard']"
"['Died In Your Arms', 'Intonation Featuring Joee']"
"['One Wish', 'Ray J']"
"['Runaway', 'Janet Jackson']"
"['Maps', 'Yeah Yeah Yeahs']"
"[""We Weren't Crazy"", 'Josh Gracin']"
"['Little Things', 'One Direction']"
"['I Can Do That', 'Montell Jordan']"
"['With Every Beat Of My Heart', 'Taylor Dayne']"
"['The Arms Of The One Who Loves You', 'Xscape']"
"['The Way I Feel', 'Tag']"
"['Get Buck In Here', 'DJ Felli Fel Featuring Diddy, Akon, Ludacris & Lil Jon']"
"['Hold On', 'Jonas Brothers']"
"['Love Runs Out', 'OneRepublic']"
"['Studio', 'ScHoolboy Q Featuring BJ The Chicago Kid']"
"['Without Your Love', 'Angelina']"
"['Big Green Tractor', 'Jason Aldean']"
"['Hella Good', 'No Doubt']"
"['Give It Up', 'The Goodmen']"
"['Weak And Powerless', 'A Perfect Circle']"
"['Photograph', 'Nickelback']"
"['Round Here', 'Florida Georgia Line']"
"['Time Warp', 'Glee Cast']"
"['Waiting For You', 'Seal']"
"['Downtown Venus', 'P.M. Dawn']"
"['Met Gala', 'Gucci Mane Featuring Offset']"
"['Rain', 'Creed']"
"['Look Alive', 'BlocBoy JB Featuring Drake']"
"['You', 'Jacquees']"
"[""If I Can't Have You"", 'L.F.O. (Lyte Funky Ones) (Featuring Kayo)']"
"[""Darlin' Don't Go"", 'Sundance Head']"
"['Miles Away', 'Winger']"
"['Get At Me Dog', 'DMX Featuring Sheek Of The Lox']"
"['Proud', '2 Chainz Featuring YG & Offset']"
"['Thank God I Found You', 'Mariah Carey Featuring Joe & 98 Degrees']"
"['Better Than Me', 'Hinder']"
"['ZEZE', 'Kodak Black Featuring Travis Scott & Offset']"
"['Human Touch/Better Days', 'Bruce Springsteen']"
"['When I See This Bar', 'Kenny Chesney']"
"['Caroline', 'Amine']"
"['My Projects', 'Coo Coo Cal']"
"['Crawl', 'Chris Brown']"
"['Like This', 'Mims']"
"['Area Codes', 'Ludacris Featuring Nate Dogg']"
"[""Here's Your Sign (Get The Picture)"", 'Bill Engvall With Special Guest Travis Tritt']"
"['Not The Only One', 'Bonnie Raitt']"
"['One Honest Heart', 'Reba']"
"[""Let's Forget About It"", 'Lisa Loeb']"
"['One Kiss', 'Calvin Harris & Dua Lipa']"
"['Moment 4 Life', 'Nicki Minaj Featuring Drake']"
"['Die Another Day', 'Madonna']"
"['They Reminisce Over You (T.R.O.Y.)', 'Pete Rock & C.L. Smooth']"
"['Mo Bamba', 'Sheck Wes']"
"['Personal Jesus', 'Depeche Mode']"
"['Passionfruit', 'Drake']"
"[""Should've Been Us"", 'Tori Kelly']"
"['Southern Comfort Zone', 'Brad Paisley']"
"['End Game', 'Taylor Swift Featuring Ed Sheeran & Future']"
"['Lonely Tonight', 'Blake Shelton Featuring Ashley Monroe']"
"[""Stuntin' Like My Daddy"", 'Birdman & Lil Wayne']"
"['Liquid Swords', 'Genius/GZA']"
"['Everyday', 'Phil Collins']"
"['Precious Love', 'Jody Watley']"
"['Owe Me', 'Big Sean']"
"['Overnight Celebrity', 'Twista']"
"['Soul Food', 'Goodie Mob']"
"[""Can't Let Go"", 'Mariah Carey']"
"['Back Here', 'BBMak']"
"['Sugar Hill', 'AZ']"
"[""They Don't Know"", 'Rico Love']"
"['Just For You', 'Lionel Richie']"
"['Pretty Vegas', 'INXS']"
"['What Ya Want', 'EVE & Nokio']"
"['Numb/Encore', 'Jay-Z/Linkin Park']"
"['Hard To Love', 'Lee Brice']"
"[""Do They Know It's Christmas? (2014)"", 'Band Aid 30']"
"['Players Holiday', 'T.W.D.Y. Featuring Too Short & Mac Mall']"
"['Pull Up To The Bumper', 'Patra']"
"['Dance (A$$)', 'Big Sean Featuring Nicki Minaj']"
"['Indica Badu', 'Logic Featuring Wiz Khalifa']"
"['Physical Funk', 'Domino']"
"['Quit Playing Games (With My Heart)', 'Backstreet Boys']"
"['Lately', 'Tyrese']"
"['New Age Girl (From ""Dumb And Dumber"")', 'Deadeye Dick']"
"['Always On Your Side', 'Sheryl Crow & Sting']"
"['Carolina', 'Parmalee']"
"['Bad Reputation', 'Freedy Johnston']"
"['Freak Out', 'Nutta Butta Featuring Teddy Riley And Anonymous']"
"['Sicko Mode', 'Travis Scott']"
"['Leave The Night On', 'Sam Hunt']"
"['Possession', 'Bad English']"
"['Nowadays', 'Lil Skies Featuring Landon Cube']"
"['God Bless The U.S.A.', 'American Idol Finalists']"
"['All The Things (Your Man Won\'t Do) (From ""Don\'t Be A Menace..."")', 'Joe']"
"['Clumsy', 'Fergie']"
"['Do Da What', '1 Of The Girls']"
"[""Lyin' To Myself"", 'David Cassidy']"
"['Diary', 'Alicia Keys Featuring Tony! Toni! Tone!']"
"['Do Anything', 'Natural Selection']"
"['Mayberry', 'Rascal Flatts']"
"[""Call Me When You're Sober"", 'Evanescence']"
"['Bickenhead', 'Cardi B']"
"['Wait For A Minute', 'Tyga & Justin Bieber']"
"['Stay', 'Jodeci']"
"['Bionic', 'Christina Aguilera']"
"['Rosealia', 'Better Than Ezra']"
"['I Know Somebody', 'LOCASH']"
"['Opposites Attract', 'Paula Abdul (Duet With The Wild Pair)']"
"['Let Me Down Slowly', 'Alec Benjamin Featuring Alessia Cara']"
"['MIC Drop', 'BTS Featuring Desiigner']"
"['Flowers On The Wall', 'Eric Heatherly']"
"[""I'm Not Okay (I Promise)"", 'My Chemical Romance']"
"['Jumpman', 'Drake & Future']"
"['Quitame Ese Hombre', 'Pilar Montenegro']"
"['Lessons In Love', 'Kaskade Featuring Neon Trees']"
"['I Just Want To Dance With You', 'George Strait']"
"['Walk', 'Foo Fighters']"
"['Drift & Die', 'Puddle Of Mudd']"
"['Try To Find Me', 'Gorky Park']"
"['What About Us?', 'Brandy']"
"['Baby', 'Justin Bieber Featuring Ludacris']"
"['Used To This', 'Future Featuring Drake']"
"['Candy Rain', 'Soul For Real']"
"['Through The Rain', 'Tanya Blount']"
"['Hideaway', 'Kiesza']"
"['Show Me How To Live', 'Audioslave']"
"['For You', 'Michael W. Smith']"
"['Jack Sparrow', 'The Lonely Island Featuring Michael Bolton']"
"['Praying For Time', 'Carrie Underwood']"
"['Come Undone', 'Duran Duran']"
"['Rock That Body', 'The Black Eyed Peas']"
"['Sunflower (Spider-Man: Into The Spider-Verse)', 'Post Malone & Swae Lee']"
"['A Smile Like Yours (From ""A Smile Like Yours"")', 'Natalie Cole']"
"['All You Wanted', 'Michelle Branch']"
"[""I'll Give All My Love To You"", 'Keith Sweat']"
"['Welcome Back', 'Mase']"
"['Sex Therapy', 'Robin Thicke']"
"['The Morning Papers', 'Prince And The New Power Generation']"
"['Hey', 'Lil Jon Featuring 3OH!3']"
"['Beautiful Mess', 'Diamond Rio']"
"['Stepping Stone', 'Lari White']"
"['Bohemian Rhapsody', 'Queen']"
"['Thank You', 'The Cover Girls']"
"['Alibis', 'Tracy Lawrence']"
"['Bad At Love', 'Halsey']"
"['Night In My Veins', 'Pretenders']"
"['Wonderful', 'Adam Ant']"
"['Mary, Did You Know?', 'Pentatonix']"
"['Love Me', 'Lil Wayne Featuring Drake & Future']"
"['Dilemma', 'Nelly Featuring Kelly Rowland']"
"['If Nobody Believed In You', 'Joe Nichols']"
"['Esa Nena Linda', 'Artie The 1 Man Party']"
"['Get Low', 'Waka Flocka Flame Featuring Nicki Minaj, Tyga & Flo Rida']"
"['My PYT', 'Wale']"
"['Nowhere To Go', 'Melissa Etheridge']"
"['CRZY', 'Kehlani']"
"['This Time Make It Funky', 'Tracie Spencer']"
"[""Fallin' For You"", 'Colbie Caillat']"
"['Red Rag Top', 'Tim McGraw']"
"['Snap Backs & Tattoos', 'Driicky Graham']"
"['Fix A Drink', 'Chris Janson']"
"['No Better Love', 'Young Gunz Featuring Rell']"
"['Cherry Pie', 'Warrant']"
"['Daughters', 'John Mayer']"
"['Slowly', 'Stacy Earl']"
"['Miracle (From ""Young Guns II"")', 'Jon Bon Jovi']"
"['One Day', 'Logic Featuring Ryan Tedder']"
"['Lost In You', 'Garth Brooks as Chris Gaines']"
"['Arms Around You', 'XXXTENTACION x Lil Pump Featuring Maluma & Swae Lee']"
"['Push It', 'Garbage']"
"['Walking In Memphis', 'Marc Cohn']"
"['Get It On Tonite', 'Montell Jordan']"
"[""U Don't Love Me"", 'Kumbia Kings Featuring A.B. Quintanilla']"
"['One Man Can Change The World', 'Big Sean Featuring Kanye West & John Legend']"
"['Lost Soul', 'Bruce Hornsby & The Range With Shawn Colvin']"
"[""Who's Your Daddy?"", 'Toby Keith']"
"[""DJ Got Us Fallin' In Love"", 'Usher Featuring Pitbull']"
"['Downfall', 'TRUSTcompany']"
"['Poor Georgie', 'MC Lyte']"
"['If You Were Mine', 'Marcos Hernandez']"
"['Georgia', 'Ludacris & Field Mob Featuring Jamie Foxx']"
"['I Still Miss You', 'Keith Anderson']"
"['No Fool No More', 'En Vogue']"
"['Hung Up', 'Madonna']"
"['Slow Motion', 'Color Me Badd']"
"['Butterfly Kisses', 'Raybon Bros.']"
"['Ch-Check It Out', 'Beastie Boys']"
"[""Don't Let Go (Love)"", 'En Vogue']"
"['Close To You', 'Fun Factory']"
"['Magnolia', 'Playboi Carti']"
"['Angel Eyes', 'Love And Theft']"
"['Macarena Christmas', 'Los Del Rio']"
"[""What's My Name?"", 'Snoop Dogg']"
"['Watch', 'Travis Scott Featuring Lil Uzi Vert & Kanye West']"
"['Gold', 'Kiiara']"
"['Homegrown', 'Zac Brown Band']"
"['The Secret Of Life', 'Faith Hill']"
"['In Those Jeans', 'Ginuwine']"
"['King Of Wishful Thinking (From ""Pretty Woman"")', 'Go West']"
"['Ayy Ladies', 'Travis Porter Featuring Tyga']"
"['Pieces Of Me', 'Ashlee Simpson']"
"['4 Your Eyez Only', 'J. Cole']"
"['It Never Rains (In Southern California)', 'Tony Toni Tone']"
"[""Keep It Comin' (Dance Till You Can't Dance No More!)"", 'C+C Music Factory']"
"['Inside Your Heaven', 'Bo Bice']"
"['Bring It Back', 'Travis Porter']"
"[""The Chipmunk Song (Christmas Don't Be Late) (2007)"", 'Alvin And The Chipmunks']"
"['In My Head', 'Ariana Grande']"
"['Kissing The Wind', 'Nia Peeples']"
"['Break Down Here', 'Julie Roberts']"
"['Legend Of A Cowgirl', 'Imani Coppola']"
"[""Money's Just A Touch Away"", 'Mack 10 Featuring Gerald Levert']"
"['Bring It On', 'Keith Washington']"
"['Talk About Our Love', 'Brandy Featuring Kanye West']"
"['Love Is (From ""Beverly Hills, 90210"")', 'Vanessa Williams/Brian McKnight']"
"['Making Memories Of Us', 'Keith Urban']"
"['Everything Is Everything', 'Lauryn Hill']"
"['Heat Of The Moment', 'After 7']"
"['Please Forgive Me', 'Bryan Adams']"
"['What Ifs', 'Kane Brown Featuring Lauren Alaina']"
"['Ride', 'Ciara Featuring Ludacris']"
"['Put On', 'Young Jeezy Featuring Kanye West']"
"['One More Night', 'Amber']"
"['Dark Side', 'Kelly Clarkson']"
"['Stealing Cinderella', 'Chuck Wicks']"
"['Ready To Go', 'Republica']"
"[""Shake A Lil' Somethin'..."", 'The 2 Live Crew']"
"['Sending My Love', 'Zhane']"
"['Nightgown', 'Candyman']"
"['Poison', 'Alice Cooper']"
"['Kisses Down Low', 'Kelly Rowland']"
"['This Is Ponderous', '2nu']"
"['Mean To Me', 'Brett Eldredge']"
"[""I'm So Happy I Can't Stop Crying"", 'Toby Keith With Sting']"
"[""Leavin'"", 'The Tony Rich Project']"
"['For You I Will (Confidence)', 'Teddy Geiger']"
"['Right Now', 'Rihanna Featuring David Guetta']"
"['Smooth', 'Florida Georgia Line']"
"['Smile', 'Scarface Featuring 2Pac & Johnny P']"
"['Baby By Me', '50 Cent Featuring Ne-Yo']"
"['One Dance', 'Drake Featuring WizKid & Kyla']"
"['I Like How It Feels', 'Enrique Iglesias Featuring Pitbull & The WAV.s']"
"['Runaway', 'The Corrs']"
"['Alright', 'Kris Kross Featuring Supercat']"
"['Dame Tu Cosita', 'Pitbull x El Chombo x Karol G Featuring Cutty Ranks']"
"['Roses', 'OutKast']"
"['What Time Is Love?', 'The KLF']"
"['Am I The Only One', 'Dierks Bentley']"
"['All The Places (I Will Kiss You)', 'Aaron Hall']"
"['Tough', 'Craig Morgan']"
"['Changes', 'XXXTENTACION']"
"['Booty', 'Jennifer Lopez Featuring Iggy Azalea Or Pitbull']"
"['Promises Broken', 'Soul Asylum']"
"[""Betcha Can't Do It Like Me"", 'D4L']"
"['Heart Like Mine', 'Miranda Lambert']"
"['Come Over', 'Kenny Chesney']"
"['Immortal', 'J. Cole']"
"['Good Life', 'OneRepublic']"
"['Bartier Cardi', 'Cardi B Featuring 21 Savage']"
"['Cuts Both Ways', 'Gloria Estefan']"
"['Midnight', 'Logic']"
"[""I'm A Thug"", 'Trick Daddy']"
"['Promise', 'Ciara']"
"['Where The Green Grass Grows', 'Tim McGraw']"
"['Thirty-Three', 'The Smashing Pumpkins']"
"['F.U.R.B. (F U Right Back)', 'Frankee']"
"[""I Can't Hate You Anymore"", 'Nick Lachey']"
"['Set The Fire To The Third Bar', 'Snow Patrol Featuring Martha Wainwright']"
"['Jigga', 'JAY-Z']"
"['Desert Rose', 'Sting Featuring Cheb Mami']"
"['Have A Nice Day', 'Bon Jovi']"
"['Chocolate', 'The 1975']"
"['Welcome 2 Detroit', 'Trick-Trick Featuring Eminem']"
"['Delicate', 'Taylor Swift']"
"['Last Friday Night (T.G.I.F.)', 'Katy Perry']"
"['Ghost Town', 'Kanye West Featuring PARTYNEXTDOOR']"
"['Backseat', 'New Boyz Featuring The Cataracs & Dev']"
"['Pop Style', 'Drake Featuring The Throne']"
"['You Owe Me', 'NAS Featuring Ginuwine']"
"['La Modelo', 'Ozuna x Cardi B']"
"['Bailando', 'Enrique Iglesias Featuring Descemer Bueno & Gente de Zona']"
"['When We', 'Tank']"
"['Anything But Down', 'Sheryl Crow']"
"['Bleed Red', 'Ronnie Dunn']"
"['Blame', 'Calvin Harris Featuring John Newman']"
"['XXX.', 'Kendrick Lamar Featuring U2']"
"['New York Minute', 'Don Henley']"
"[""Young'n (Holla Back)"", 'Fabolous']"
"[""Everything I Shouldn't Be Thinking About"", 'Thompson Square']"
"['Little Miss', 'Sugarland']"
"['Outta My System', 'Bow Wow Featuring T-Pain & Johnta Austin']"
"['For The First Time In Forever', 'Kristen Bell & Idina Menzel']"
"['Sing', 'My Chemical Romance']"
"['No', 'Meghan Trainor']"
"['Does Anybody Really Fall In Love Anymore?', 'Kane Roberts']"
"['Feels So Good (Show Me Your Love)', 'Lina Santiago']"
"['I Know You See It', ""Yung Joc Featuring Brandy 'Ms. B.' Hambrick""]"
"['Summertime', 'Kenny Chesney']"
"['Made You Look', 'Nas']"
"['Fire N Gold', 'Bea Miller']"
"['Crazy', 'Gnarls Barkley']"
"['Whatever', ""Ideal Featuring Lil' Mo""]"
"['You Think You Know Her', 'Cause And Effect']"
"['The Saints Are Coming', 'U2 & Green Day']"
"['Whipped', 'Jon Secada']"
"['Before You Walk Out Of My Life/Like This And Like That', 'Monica']"
"['Without You', 'Keith Urban']"
"['Better Days', 'Goo Goo Dolls']"
"[""I Don't Care"", 'Fall Out Boy']"
"['The Way', 'Ariana Grande Featuring Mac Miller']"
"['Jackie Chan', 'Tiesto & Dzeko Featuring Preme & Post Malone']"
"['What Is Love', 'Haddaway']"
"['Get Together', 'Big Mountain']"
"['Turn Down For What', 'DJ Snake & Lil Jon']"
"[""Can't Nobody Hold Me Down"", 'Puff Daddy (Featuring Mase)']"
"['6 Underground', 'Sneaker Pimps']"
"['I Got It From My Mama', 'will.i.am']"
"['Just Want You To Know', 'Backstreet Boys']"
"['We R Who We R', 'Ke$ha']"
"['THat Part', 'ScHoolboy Q Featuring Kanye West']"
"[""Don't Look Back In Anger"", 'Oasis']"
"['One Day', 'Matisyahu']"
"[""Why I Love You So Much/Ain't Nobody"", 'Monica']"
"['Rock Wit U (Awww Baby)', 'Ashanti']"
"['Is It Good To You', 'Heavy D & The Boyz']"
"['Just Another Girl', 'Monica']"
"['Give Him A Love He Can Feel', 'Tene Williams']"
"['Old Man & Me (When I Get To Heaven)', 'Hootie & The Blowfish']"
"['Smile', 'Lily Allen']"
"[""Chloe (You're The One I Want)"", 'Emblem3']"
"['All I Do', ""Somethin' For The People""]"
"['Heal The World', 'Michael Jackson']"
"['Temptations', '2Pac']"
"['Love Me', 'Tracie Spencer']"
"['Wild Ones', 'Flo Rida Featuring Sia']"
"['The Language', 'Drake']"
"['Hello Good Morning', 'Diddy - Dirty Money Featuring T.I.']"
"[""Daddy Won't Sell The Farm"", 'Montgomery Gentry']"
"['Lucky Love', 'Ace Of Base']"
"[""Let's Be Us Again"", 'Lonestar']"
"[""Couldn't Last A Moment"", 'Collin Raye']"
"['Battlefield', 'Jordin Sparks']"
"['Back At One', 'Mark Wills']"
"[""Everything's Gonna Be Alright"", 'Naughty By Nature']"
"['Still In My Heart', 'Tracie Spencer']"
"[""It's A Business Doing Pleasure With You"", 'Tim McGraw']"
"['Stone Cold Gentleman', 'Ralph Tresvant']"
"['Never Should\'ve Let You Go (From ""Sister Act 2"")', 'Hi-Five']"
"['Jumpin On A Jet', 'Future']"
"['Feel Me Flow', 'Naughty By Nature']"
"['Think Twice', 'Celine Dion']"
"['The Walker', 'Fitz And The Tantrums']"
"['Hooked', 'Dylan Scott']"
"['In The Night', 'The Weeknd']"
"['Big Yellow Taxi', 'Amy Grant']"
"['This Is What You Came For', 'Calvin Harris Featuring Rihanna']"
"['How Deep Is Your Love', 'Dru Hill Featuring Redman']"
"['Sky Walker', 'Miguel Featuring Travis Scott']"
"['Flow Joe', 'Fat Joe']"
"['Through The Wire', 'Kanye West']"
"[""I Don't Wanna Be In Love (Dance Floor Anthem)"", 'Good Charlotte']"
