title,artist,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,chorusHit,sections,hit
Rude Boy,Rihanna,89,0.563,0.75,11,-4.496,1,0.127,0.113,0,0.0788,0.812,173.906,222920,4,33.87617,9,1
You Make Me Sick - Radio Mix,P!nk,81,0.776,0.695,11,-6.277,0,0.173,0.00228,2.71E-06,0.341,0.644,100.524,247627,4,40.2506,12,1
No Better Love,DeJ Loaf,67,0.442,0.53,9,-9.877,0,0.283,0.781,1.05E-05,0.207,0.439,117.311,224183,4,52.62608,9,1
Riff Off: Mickey/Like A Virgin/Hit Me With Your Best Shot/S&M/Let’s Talk About Sex/I’ll Make Love To You/Feels Like The First Time/No Diggity,The Barden Bellas,59,0.571,0.499,11,-5.515,1,0.404,0.554,0,0.0908,0.755,126.434,224267,4,26.73279,10,1
Photograph,Ed Sheeran,91,0.614,0.379,4,-10.48,1,0.0476,0.607,0.000464,0.0986,0.201,107.989,258987,4,35.19423,13,1
Pop a Top,Alan Jackson,71,0.699,0.477,2,-9.339,1,0.031,0.291,0,0.164,0.83,118.382,185427,4,22.02614,8,1
Oye Mi Canto,N.O.R.E.,55,0.677,0.946,6,-2.887,1,0.0553,0.185,3.56E-06,0.274,0.948,96.011,240973,4,42.72675,12,1
Runaway,The Corrs,62,0.423,0.598,5,-7.443,1,0.0268,0.641,1.24E-06,0.34,0.521,151.972,265133,3,31.42707,11,1
Same Girl,R. Kelly,72,0.717,0.583,1,-5.008,1,0.146,0.506,0,0.0821,0.816,139.76,252933,4,31.52992,10,1
What Do Ya Think About That,Montgomery Gentry,61,0.592,0.795,7,-6.13,1,0.0291,0.0504,6.35E-06,0.0852,0.705,157.067,217947,4,46.91268,8,1
Let`s Stay Home Tonight,Isaac Black,4,0.471,0.23,0,-16.205,0,0.0305,0.202,0.921,0.0937,0.16,76.113,144846,4,53.81084,6,1
What Your Life Like,Lil Durk,74,0.72,0.694,9,-3.878,0,0.0448,0.0557,0,0.781,0.369,136.078,187373,4,42.62206,8,1
Vanilla Twilight,Owl City,70,0.582,0.529,11,-7.637,1,0.0248,0.00961,0.000554,0.113,0.567,166.134,231707,4,49.28075,9,1
She Bad,Cardi B,92,0.791,0.504,10,-7.864,1,0.266,0.0183,0,0.0963,0.355,159.949,230953,4,24.3122,12,1
"Sit Still, Look Pretty",Daya,74,0.657,0.739,2,-4.081,1,0.274,0.141,0,0.178,0.543,181.994,202221,4,27.02196,11,1
Wild Thoughts (feat. Rihanna & Bryson Tiller),DJ Khaled,78,0.613,0.681,8,-3.089,1,0.0778,0.0287,0,0.126,0.619,97.621,204664,4,31.60112,11,1
Kiss You Back - Single Version,Digital Underground,58,0.845,0.648,9,-10.685,0,0.113,0.0386,0,0.223,0.794,113.086,221467,4,32.00214,11,1
Side Effects,The Chainsmokers,88,0.669,0.711,8,-6.758,1,0.033,0.00217,0,0.466,0.544,110.01,172747,4,57.56684,6,1
Jealous,Gene Loves Jezebel,43,0.576,0.883,2,-7.321,1,0.0365,0.0121,2.15E-05,0.365,0.453,98.599,231533,4,58.45879,11,1
The Night We Met,Lord Huron,73,0.441,0.379,2,-9.545,1,0.0449,0.968,0.262,0.639,0.105,174.118,208227,3,51.6492,7,1
Escapade,Janet Jackson,68,0.815,0.944,1,-6.698,1,0.0513,0.0264,0.00038,0.181,0.682,115.219,283934,4,31.86331,9,1
The Weekend,SZA,81,0.487,0.366,8,-9.405,0,0.0531,0.241,0,0.126,0.161,68.191,272187,5,39.45954,9,1
Crazy Kids,Kesha,77,0.742,0.706,0,-4.6,0,0.0433,0.0141,0.00568,0.133,0.478,128.03,230747,4,28.27258,9,1
Sail,AWOLNATION,66,0.825,0.435,1,-9.582,1,0.0568,0.452,0.609,0.0953,0.243,119.038,259102,4,31.93653,8,1
My Homies Still,Lil Wayne,89,0.749,0.643,1,-5.537,1,0.257,0.00124,0,0.111,0.472,74.996,246560,4,26.12863,17,1
House Of Broken Love,Great White,53,0.581,0.468,9,-15.763,0,0.0314,0.0251,0.0845,0.0831,0.49,116.04,358427,3,23.19227,20,1
Night And Day,Bette Midler,57,0.578,0.505,4,-13.012,1,0.0253,0.181,7.00E-05,0.63,0.316,133.902,330360,4,23.55719,12,1
Dedicated,YoungBoy Never Broke Again,84,0.652,0.666,0,-6.738,0,0.163,0.223,0,0.109,0.685,159.946,169500,4,55.93322,10,1
I Don't Want to Be - Stripped Version,Gavin DeGraw,67,0.545,0.582,8,-7.377,1,0.0368,0.142,0,0.144,0.536,147.082,244333,4,51.80203,10,1
Don’t Stop Believin’,Mashd N Kutcher,45,0.566,0.804,2,-4.231,1,0.033,0.0286,0,0.293,0.354,125.972,175351,4,18.0538,10,1
I Need Your Love (feat. Ellie Goulding),Calvin Harris,89,0.695,0.869,8,-5.066,1,0.0483,0.41,0,0.237,0.58,124.989,234507,4,23.6944,13,1
I’ve Been Waiting For You,Pixies,68,0.367,0.833,7,-9.578,1,0.0411,0.0112,0.842,0.142,0.422,117.217,169733,4,49.26864,5,1
All Summer Long,Hit Co. Masters,19,0.607,0.889,7,-4.317,1,0.0325,0.0103,0,0.0642,0.863,102.997,296333,4,41.30909,14,1
Gimmie That Girl,Joe Nichols,59,0.56,0.877,2,-4.115,1,0.0966,0.237,0.000357,0.865,0.663,81.019,185333,4,60.77821,8,1
One Night Stand - Amended LP Remix,J-Shin (Featuring LaTocha Scott of Xscape),1,0.897,0.668,1,-4.335,1,0.327,0.00709,0,0.0751,0.685,103.952,202493,4,36.65308,9,1
"Oh, Sweet Lorraine",Piano Tribute Players,60,0.601,0.131,7,-21.84,1,0.0519,0.99,0.945,0.0925,0.502,112.994,119333,4,49.69378,5,1
Magic,Coldplay,87,0.738,0.483,6,-8.915,0,0.0403,0.0262,0.616,0.106,0.355,93.458,285014,4,30.37254,12,1
Leave Me Alone,Flipp Dinero,76,0.792,0.743,7,-2.806,1,0.0851,0.107,0,0.183,0.742,150.024,195637,4,26.11876,12,1
1994,Jason Aldean,76,0.598,0.777,11,-6.676,0,0.0396,0.183,0,0.111,0.821,159.942,242680,4,36.74216,12,1
Careless Whisper,Seether,70,0.413,0.943,2,-4.173,1,0.104,5.34E-05,0.00487,0.068,0.328,134.077,296973,4,36.8415,11,1
Kids,MGMT,73,0.451,0.931,9,-3.871,1,0.0719,0.00076,0.0049,0.361,0.172,122.961,302840,4,20.25869,10,1
Dream About You - Juanito's Funky House Mix,Stevie B,49,0.805,0.451,4,-17.401,0,0.111,0.000532,0.695,0.103,0.465,128.005,369333,4,31.39992,13,1
Goodbye,Spice Girls,70,0.552,0.694,4,-4.489,1,0.026,0.0846,0,0.117,0.359,136.019,275427,4,51.38794,15,1
Neva Eva - feat. Lil Scrappy & Lil Jon,Trillville,46,0.777,0.81,7,-4.968,1,0.0462,0.0192,0,0.0861,0.787,78.021,276320,4,41.99645,13,1
When I'm Back On My Feet Again,Michael Bolton,66,0.429,0.326,5,-12.703,1,0.03,0.377,0,0.101,0.185,77.849,228267,4,21.60423,11,1
Still My Moment,Tee Grizzley,75,0.856,0.648,1,-6.503,1,0.364,0.373,0,0.15,0.669,98.022,103889,4,43.50598,5,1
Holidae In,Chingy,61,0.81,0.791,7,-5.909,1,0.181,0.0893,0,0.0838,0.948,153.067,314352,4,34.36618,17,1
Nothin',N.O.R.E.,55,0.781,0.869,6,-6.078,1,0.181,0.377,1.20E-06,0.301,0.702,97.025,264653,4,35.28201,15,1
Truth Is,Fantasia,58,0.707,0.451,11,-10.38,1,0.0761,0.309,0,0.0524,0.616,73.209,236747,4,39.02984,9,1
Loving You Easy,Zac Brown Band,73,0.722,0.593,1,-3.953,1,0.0269,0.017,1.42E-06,0.067,0.326,98.982,155653,4,18.05946,8,1
Too Bad,Nickelback,76,0.598,0.808,10,-5.209,1,0.0388,0.00304,0,0.147,0.288,128.025,232240,4,34.01039,11,1
I’m A Flirt,Kinfolk Thugs,11,0.484,0.471,11,-14.784,0,0.393,0.378,0,0.606,0.737,154.173,60133,4,35.32186,4,1
Shut Up and Kiss Me,Mary Chapin Carpenter,48,0.778,0.75,9,-5.052,1,0.0417,0.571,0.000101,0.121,0.961,119.932,220573,4,24.44352,12,1
Thug Holiday,Trick Daddy,59,0.767,0.654,1,-9.088,0,0.289,0.372,0,0.147,0.546,138.062,294067,4,26.58424,13,1
Why,Jason Aldean,76,0.568,0.695,9,-3.828,1,0.0294,0.0688,0,0.15,0.218,135.926,213733,4,37.57693,9,1
Singles You Up,Jordan Davis,67,0.491,0.907,7,-3.594,1,0.0481,0.0491,0,0.242,0.631,199.943,182667,4,39.1747,6,1
The Itch,Vitamin C,42,0.694,0.947,11,-3.91,0,0.0546,0.00621,0.0395,0.133,0.518,105.019,208733,4,24.02736,9,1
No Surprise,Daughtry,66,0.508,0.823,3,-3.711,1,0.031,0.00741,0,0.104,0.152,95.98,270640,4,30.8566,15,1
All Star,Smash Mouth,68,0.731,0.861,11,-5.881,1,0.0323,0.0319,0,0.0829,0.78,104.034,200373,4,38.46408,10,1
No Fool No More,En Vogue,58,0.53,0.679,2,-5.987,0,0.0523,0.444,0,0.0728,0.338,76.045,257573,4,35.00537,10,1
Turnin' Me On,Blake Shelton,72,0.628,0.708,11,-7.045,0,0.0287,0.309,1.32E-06,0.109,0.276,111.047,288573,4,41.87319,11,1
Gots Ta Be,B2K,59,0.832,0.454,2,-4.252,1,0.0513,0.0402,0.000497,0.0723,0.69,131.784,321200,4,27.43304,12,1
One In Every Crowd,Montgomery Gentry,61,0.643,0.86,11,-4.447,1,0.0495,0.00423,0,0.286,0.674,111.148,211107,4,26.33401,9,1
Angel,Amanda Perez,43,0.638,0.54,0,-6.849,1,0.0473,0.506,0,0.157,0.352,143.772,218760,4,35.72025,11,1
Baby Hold On To Me,Gerald Levert & Eddie Levert,31,0.744,0.677,9,-5.833,1,0.0377,0.47,0,0.401,0.674,119.386,341547,4,32.02231,13,1
I’ll Get By,Nick Lucas,16,0.71,0.3,2,-8.786,0,0.0359,0.947,0.00256,0.111,0.67,74.776,136603,4,31.47834,7,1
Fade Into You,Mazzy Star,61,0.42,0.33,9,-13.925,1,0.0275,0.245,0.000679,0.0677,0.175,157.143,295600,3,19.18169,14,1
Love U 4 Life,Jodeci,57,0.695,0.638,2,-7.891,0,0.0458,0.343,0,0.635,0.701,118.106,290067,4,25.19654,14,1
I Can't Wait Another Minute,Hi-Five,48,0.625,0.644,8,-8.801,1,0.0287,0.357,0,0.102,0.638,147.435,301640,4,65.96611,9,1
Bad Girlfriend,Theory of a Deadman,68,0.504,0.957,0,-2.657,1,0.0529,0.00298,0,0.187,0.676,135.013,205627,4,30.8412,10,1
DNA,BTS,88,0.598,0.775,1,-4.035,0,0.0545,0.022,0,0.0677,0.687,129.819,223123,4,46.93174,12,1
So Hard - 2018 Remaster,Pet Shop Boys,67,0.561,0.893,0,-7.663,1,0.038,0.00123,0.408,0.176,0.674,119.863,238387,4,22.73805,13,1
Too Little Too Late,Barenaked Ladies,61,0.497,0.987,9,-0.884,1,0.098,0.0308,0.00463,0.123,0.455,144.013,203773,4,30.75908,10,1
Monster,Fred Schneider,16,0.83,0.732,5,-9.276,0,0.0539,0.0897,0.000431,0.386,0.954,139.356,235733,4,18.28545,10,1
I Like The Sound Of That,Rascal Flatts,71,0.611,0.8,0,-5.61,1,0.0377,0.257,0,0.194,0.527,89.974,209280,4,26.93667,10,1
Tuck Me In,Kimberly Scott,3,0.649,0.453,4,-8.849,0,0.0558,0.481,0,0.286,0.493,128.021,270467,4,47.24677,9,1
"Angel, I’ll Walk You Home",Unrest,18,0.563,0.0592,4,-15.628,1,0.0434,0.937,0.655,0.103,0.0943,117.342,203800,4,58.51356,10,1
Looking For Mr. Do Right,Jade,46,0.635,0.409,11,-11.253,1,0.0314,0.122,0,0.103,0.297,99.932,377373,4,35.00509,14,1
JUST STAND UP!,Artists Stand Up To Cancer,28,0.562,0.953,7,-1.09,1,0.0833,0.186,0,0.679,0.545,176.513,217067,4,44.58305,10,1
Rhythm Divine,Enrique Iglesias,78,0.634,0.969,0,-2.662,1,0.166,0.135,0,0.185,0.417,102.035,209467,4,19.80286,7,1
Watching Airplanes,Gary Allan,59,0.376,0.722,11,-3.553,1,0.0354,0.569,4.69E-05,0.164,0.458,159.842,242947,4,41.81242,11,1
Sweet Annie,Zac Brown Band,73,0.635,0.434,6,-7.986,1,0.0298,0.171,1.10E-06,0.106,0.171,139.976,278693,4,23.11001,12,1
If I Could Fly,One Direction,82,0.565,0.245,5,-9.132,1,0.0262,0.781,0,0.0998,0.307,75.055,230320,4,30.96038,11,1
Wasting All These Tears,Cassadee Pope,60,0.463,0.789,5,-3.915,0,0.0378,0.0954,8.84E-06,0.152,0.301,155.865,215640,4,29.36445,10,1
Solo,Iyaz,65,0.73,0.728,11,-3.113,1,0.0291,0.197,0,0.197,0.68,130.061,194267,4,33.14599,9,1
Lost In Love,Nastyboy Klick,33,0.837,0.388,9,-13.319,0,0.28,0.177,0,0.157,0.489,139.997,247080,4,54.24108,9,1
hope is a dangerous thing for a woman like me to have - but I have it,Lana Del Rey,82,0.492,0.144,7,-10.125,1,0.0708,0.965,1.84E-06,0.161,0.274,164.839,324302,3,24.53786,14,1
Emotionless,Drake,97,0.413,0.677,1,-5.12,1,0.255,0.0249,0,0.0793,0.0845,172.501,302173,4,31.31506,11,1
Just Kickin' It,Xscape,55,0.694,0.365,1,-12.294,0,0.0635,0.054,3.43E-05,0.401,0.693,80.904,204133,4,63.15282,9,1
Sweet but Psycho,Ava Max,82,0.719,0.704,1,-4.724,1,0.0476,0.0691,0,0.166,0.628,133.002,187436,4,31.15073,9,1
Know No Better,Major Lazer,80,0.738,0.814,7,-4.414,0,0.0999,0.132,9.64E-06,0.126,0.483,119.041,225850,4,28.92101,12,1
That Other Woman,Changing Faces,41,0.677,0.481,7,-5.613,0,0.0522,0.15,0,0.0747,0.246,134.01,280200,4,27.99127,12,1
How We Do (Party),Rita Ora,82,0.739,0.926,7,-3.927,1,0.0725,0.00298,0,0.108,0.718,116.03,247213,4,25.92025,10,1
The Tide Is High,Angelina,39,0.784,0.843,11,-6.477,1,0.0661,0.123,9.85E-05,0.0568,0.898,94.988,291720,4,20.46952,15,1
"Live, Laugh, Love",Clay Walker,60,0.647,0.746,2,-10.597,1,0.0437,0.195,0,0.0271,0.946,98.991,246267,4,27.97003,11,1
Rich,Maren Morris,76,0.565,0.855,5,-4.189,1,0.0557,0.0445,0,0.32,0.852,74.98,208893,4,34.4477,7,1
Twisted Transistor,Korn,73,0.58,0.983,5,-3.291,0,0.0636,0.00043,0.00694,0.0801,0.416,110.053,188933,4,34.92516,7,1
Big Deal,Kid Ink,74,0.717,0.637,0,-6.487,1,0.0613,0.00883,0,0.173,0.251,160.125,159893,4,54.86548,7,1
What Was I Thinkin',Dierks Bentley,71,0.551,0.825,5,-6.24,0,0.044,0.152,6.20E-06,0.0999,0.933,164.857,260827,4,18.19507,13,1
Love Remains The Same,Gavin Rossdale,36,0.406,0.632,4,-5.115,1,0.0344,0.236,0,0.18,0.109,149.258,249440,4,38.77601,12,1
Exchange,Bryson Tiller,79,0.53,0.433,6,-10.598,1,0.185,0.108,0,0.135,0.274,160.14,194613,4,23.42546,12,1
How I'm Comin',LL Cool J,62,0.761,0.973,11,-8.623,1,0.215,0.0576,0,0.323,0.314,97.115,305893,4,42.47281,11,1
Whatchulookinat - Main (A.K.A. Backing Vox Up),Whitney Houston,76,0.676,0.878,11,-3.66,0,0.148,0.0587,0,0.509,0.533,105.014,213440,4,40.8453,8,1
Thinkin' Bout It,Gerald Levert,47,0.734,0.659,1,-5.191,1,0.0711,0.0983,0,0.252,0.388,116.485,391040,4,29.15955,15,1
Some People Change,Montgomery Gentry,61,0.55,0.61,2,-6.358,1,0.0388,0.0456,0,0.11,0.357,168.186,201867,4,24.3249,11,1
God Must Be Busy,Brooks & Dunn,68,0.456,0.469,9,-7.688,1,0.0311,0.101,6.50E-05,0.317,0.272,78.513,231440,4,39.51247,12,1
A Little Love,Corey Hart,51,0.644,0.856,0,-10.663,1,0.0526,0.0766,0,0.0813,0.542,121.055,250868,4,38.41666,10,1
Youth of the Nation,P.O.D.,64,0.563,0.86,8,-7.533,1,0.0621,0.00834,0.0106,0.39,0.517,97.867,256240,4,31.53952,8,1
President Carter,Lil Wayne,89,0.676,0.618,2,-7.495,0,0.196,0.689,0.00821,0.127,0.466,79.799,255373,4,21.90094,10,1
What If She's An Angel,Tommy Shane Steiner,22,0.535,0.528,8,-7.453,1,0.0258,0.308,1.11E-06,0.0912,0.41,146.169,215533,4,16.93838,11,1
Here Without You,3 Doors Down,72,0.536,0.55,10,-6.733,0,0.0248,0.0537,0,0.134,0.234,144.018,238560,4,66.93336,8,1
These Are The Days - Radio Edit & Album Version,O-Town,49,0.598,0.627,9,-6.323,1,0.038,0.000968,0,0.0626,0.432,119.991,263933,4,37.07733,11,1
None Of Ur Friends Business,Ginuwine,67,0.83,0.414,9,-11.136,0,0.197,0.243,0,0.627,0.556,99.234,365800,4,58.73369,14,1
Bring Em Out,T.I.,78,0.759,0.891,11,-2.983,1,0.257,0.0298,0,0.141,0.587,98.579,216707,4,46.99801,10,1
So Alone,Men At Large,25,0.629,0.364,9,-12.721,0,0.0286,0.0754,0,0.0258,0.471,122.083,447547,4,19.27593,20,1
Love at 1st Sight,Mr. BallaBelly,0,0.643,0.449,4,-13.095,0,0.162,0.00138,0,0.0948,0.435,90.931,219507,4,45.54774,9,1
Girlstown,Super Cat,41,0.849,0.645,1,-7.841,1,0.0884,0.0132,3.48E-05,0.0839,0.533,93.928,242600,4,44.84891,12,1
Pull Over,Trina,56,0.955,0.768,1,-5.54,0,0.181,0.0134,0,0.308,0.741,125.04,194293,4,23.83386,10,1
You Make It Easy,Jason Aldean,76,0.375,0.574,7,-5.305,1,0.0315,0.143,0,0.11,0.406,132.025,196800,3,57.71728,7,1
All True Man,Alexander O'Neal,48,0.768,0.7,7,-8.445,1,0.0392,0.109,4.16E-05,0.104,0.811,104.773,304427,4,41.88911,14,1
Culo,Lil Jon,73,0.858,0.656,6,-4.96,0,0.358,0.114,0,0.141,0.969,59.972,219080,4,21.50213,9,1
Nothin' My Love Can't Fix - Live,Joey Barnes,2,0.457,0.767,0,-7.318,1,0.0729,0.0145,0,0.907,0.453,108.581,275464,4,62.27196,10,1
The Chain Of Love,Clay Walker,60,0.533,0.315,2,-14.349,1,0.0308,0.235,1.19E-05,0.0939,0.316,140.918,304507,4,21.52128,18,1
Like You,Bow Wow,62,0.6,0.597,6,-8.8,1,0.161,0.119,0,0.0772,0.474,81.752,204693,4,48.6755,9,1
The Stigma (Boys Don’t Cry),AS IT IS,52,0.324,0.856,0,-5.112,0,0.127,0.00462,0,0.144,0.125,167.153,182280,4,24.10917,7,1
Acapella,Karmin,53,0.667,0.619,2,-4.933,1,0.151,0.126,0,0.101,0.427,169.865,198907,4,28.96195,9,1
Versace On The Floor,Bruno Mars,88,0.578,0.574,2,-6.209,1,0.0454,0.196,0,0.083,0.301,174.152,261240,4,36.82058,13,1
Sweet Southern Comfort,Buddy Jewell,39,0.495,0.612,2,-6.57,1,0.0303,0.41,0,0.0974,0.366,148.083,212907,4,40.72783,10,1
Kiss You In The Morning,Michael Ray,61,0.557,0.909,11,-3.405,1,0.0423,0.00769,0,0.317,0.857,152.13,181400,4,31.7842,8,1
Away From Me,Puddle Of Mudd,63,0.388,0.943,8,-2.927,1,0.104,0.000306,0,0.168,0.162,154.721,238467,4,76.84945,7,1
Days Go By,Keith Urban,73,0.589,0.892,2,-3.197,1,0.0365,0.0633,0,0.149,0.76,131.951,224667,4,26.83519,9,1
Impulsive,Wilson Phillips,55,0.657,0.76,4,-8.613,1,0.0298,0.171,0.00551,0.224,0.71,107.872,274267,4,39.44055,10,1
Changes,2Pac,80,0.862,0.676,7,-6.336,1,0.0859,0.0378,0,0.251,0.281,111.111,268827,4,51.03363,11,1
Misery Business,Paramore,77,0.517,0.906,1,-3.677,1,0.0735,0.00272,9.26E-06,0.113,0.731,172.977,211520,4,25.39745,8,1
Big Girls Don't Cry (Personal),Fergie,71,0.712,0.647,7,-4.277,1,0.0336,0.239,0,0.0955,0.292,113.116,268120,4,79.58142,10,1
Just The Two Of Us,Will Smith,72,0.805,0.638,1,-5.864,1,0.0803,0.141,0,0.322,0.644,94.52,315507,4,15.54987,11,1
You Were Mine,Dixie Chicks,66,0.542,0.346,9,-6.598,1,0.0296,0.342,0,0.283,0.173,139.856,217807,4,44.33329,9,1
Warm It Up,Logic,85,0.835,0.641,10,-6.37,0,0.143,0.257,0,0.0937,0.412,95.98,240093,4,30.72089,10,1
Breakout,Miley Cyrus,84,0.44,0.852,4,-3.677,1,0.0565,0.000171,3.63E-06,0.234,0.823,159.981,206160,4,31.28289,11,1
She’s All I Ever Had,Various Musique,25,0.525,0.614,11,-11.953,1,0.0338,0.0615,2.17E-05,0.18,0.379,164.05,284433,4,35.49074,12,1
Paper Planes,M.I.A.,66,0.457,0.854,2,-6.2,1,0.265,0.0277,9.62E-05,0.731,0.485,172.231,203760,4,28.01981,9,1
Kings Never Die,Eminem,92,0.771,0.896,4,-5.289,0,0.129,0.0275,0,0.204,0.0593,112.505,296133,3,38.44685,9,1
Just Kickin' It,Xscape,55,0.694,0.365,1,-12.294,0,0.0635,0.054,3.43E-05,0.401,0.693,80.904,204133,4,63.15282,9,1
With You,Chris Brown,88,0.659,0.696,3,-4.291,1,0.071,0.143,0,0.13,0.665,86.001,252160,4,24.66971,13,1
Cost Of Livin',Ronnie Dunn,48,0.662,0.29,4,-7.896,1,0.0349,0.895,0,0.0959,0.283,148.393,250480,4,23.66798,12,1
Love Gets Rough,Troy Newman,1,0.56,0.665,4,-11.428,1,0.0286,0.0522,0,0.174,0.48,95.013,296227,4,20.52361,13,1
Trumpets,Jason Derulo,82,0.635,0.691,0,-4.862,1,0.258,0.555,0,0.097,0.638,82.142,217419,4,25.16837,9,1
Cool Kids,Echosmith,61,0.719,0.671,8,-6.279,1,0.0336,0.0372,8.21E-06,0.12,0.786,130.027,237627,4,19.57914,11,1
Ice Cream Freeze (Let's Chill),Hannah Montana,65,0.715,0.978,0,-3.555,1,0.0747,0.048,0.000135,0.098,0.789,106.009,187400,4,18.87215,9,1
Typical Reasons (Swing My Way),Prince Markie Dee And The Soul Convention,3,0.674,0.565,1,-13.902,1,0.0537,0.161,0,0.0939,0.827,102.556,267812,4,51.75504,13,1
Better Days (And The Bottom Drops Out),Citizen King,39,0.758,0.896,9,-3.311,1,0.0501,0.173,3.18E-05,0.136,0.797,94.911,207027,4,28.05165,9,1
Honesty (Write Me A List),Rodney Atkins,66,0.576,0.496,6,-6.716,1,0.0264,0.0355,0,0.162,0.236,77.006,255387,4,32.89877,11,1
Love Someone,Lukas Graham,78,0.55,0.415,9,-6.557,0,0.052,0.161,0,0.108,0.274,172.065,205463,4,44.89147,9,1
Love Will Never Do (Without You),Janet Jackson,68,0.746,0.946,1,-8.809,1,0.0442,0.141,0.00465,0.458,0.534,103.179,350000,4,26.55361,11,1
That’s Why I’m Here,Lenny LeBlanc,38,0.656,0.753,9,-9.541,1,0.0365,0.066,3.66E-06,0.976,0.885,126.77,277867,4,24.88899,16,1
Me So Horny,2 LIVE CREW,49,0.941,0.727,0,-11.592,1,0.228,0.00472,0.000811,0.177,0.623,128.746,276467,4,28.43392,11,1
B**** Better Have My Money,DaLa Florence,0,0.989,0.294,0,-12.804,1,0.359,0.0423,1.53E-05,0.069,0.92,120.012,193187,3,54.03726,8,1
Imitation Of Life,R.E.M.,73,0.461,0.755,7,-3.71,1,0.0318,0.0178,1.13E-06,0.18,0.439,124.256,236627,4,19.57804,10,1
Diamonds,Rihanna,89,0.564,0.71,11,-4.92,0,0.0461,0.00125,0,0.109,0.393,91.972,225147,4,31.51086,9,1
[Do You] Wanna Ride,Reel Tight,21,0.757,0.659,6,-5.525,1,0.0701,0.185,0,0.0674,0.878,138.045,213213,4,18.58291,10,1
A.M.,One Direction,82,0.586,0.527,3,-4.905,1,0.0309,0.227,0,0.0963,0.506,141.839,209040,4,41.30052,9,1
Someone to Love,Jon B.,55,0.665,0.452,6,-8.486,0,0.0257,0.14,8.03E-06,0.125,0.304,136.12,272360,4,29.23741,12,1
I'm On One,DJ Khaled,78,0.508,0.809,11,-3.454,0,0.292,0.058,0,0.608,0.489,149.999,296147,4,66.71368,12,1
Little Sister,Queens of the Stone Age,71,0.359,0.956,1,-2.942,1,0.062,0.0118,0.000822,0.511,0.924,161.132,174027,4,38.01088,10,1
Freedom! '90 - Remastered,George Michael,73,0.677,0.852,5,-10.856,1,0.045,0.225,3.95E-05,0.0595,0.93,91.691,390862,4,34.12974,17,1
Why'z it so hard,Brent Faiyaz,69,0.618,0.288,7,-13.776,1,0.128,0.351,0,0.222,0.114,85.998,161813,4,50.27168,7,1
Riddle,En Vogue,58,0.805,0.54,10,-5.047,0,0.0406,0.139,1.68E-05,0.0753,0.701,95.999,309813,4,21.0023,15,1
People Everyday - Metamorphosis Mix,Arrested Development,52,0.844,0.609,10,-10.675,1,0.217,0.0074,0,0.563,0.725,91.117,296333,4,91.29625,11,1
Umma Do Me,Rocko,50,0.695,0.606,11,-5.161,0,0.0809,0.0875,0,0.273,0.355,136.945,230547,4,18.31192,11,1
Gotta Get Thru This - D'N'D Radio Edit,Daniel Bedingfield,56,0.839,0.777,7,-5.424,0,0.0597,0.0993,3.77E-05,0.102,0.926,133.566,161200,4,34.58555,10,1
Riptide,Vance Joy,77,0.484,0.731,1,-6.694,1,0.0379,0.431,0,0.151,0.51,101.654,204280,4,82.63278,6,1
Home,Blake Shelton,72,0.38,0.443,7,-6.972,1,0.0268,0.479,3.03E-06,0.11,0.281,63.122,230453,4,46.7926,8,1
Walk,Foo Fighters,78,0.231,0.866,9,-5.131,1,0.0517,3.62E-05,0.000552,0.29,0.191,138.311,255960,4,25.84663,10,1
Mercy,Kanye West,89,0.737,0.545,6,-8.536,0,0.362,0.0855,9.32E-05,0.153,0.443,140.086,332453,4,44.18589,15,1
Small Town USA,Justin Moore,64,0.593,0.601,6,-5.996,1,0.029,0.122,5.69E-06,0.181,0.531,131.929,218853,4,25.23919,9,1
All I Do Is Win,DJ Khaled,78,0.549,0.791,10,-3.535,1,0.133,0.0104,0,0.444,0.293,150.094,227293,4,33.68906,9,1
Beer Money,Kip Moore,65,0.745,0.805,2,-5.549,1,0.0307,0.0223,1.06E-06,0.13,0.765,126.065,218147,4,30.24058,13,1
I Can Do That,Montell Jordan,59,0.804,0.453,9,-5.096,1,0.102,0.0608,0,0.131,0.748,128.85,286400,4,27.19068,12,1
Rain,Creed,67,0.54,0.927,11,-3.164,1,0.0404,0.00189,0,0.226,0.39,98.034,208240,4,41.47532,7,1
"The King Of Wishful Thinking - Live - from ""Pretty Woman""",Go West,54,0.672,0.782,0,-8.007,1,0.0457,0.326,2.11E-06,0.922,0.543,109,290693,4,26.39847,10,1
Haven’t Met You Yet - The Voice Performance,Riley Elmore,17,0.633,0.81,6,-4.765,1,0.039,0.0503,3.98E-06,0.122,0.807,122.502,219308,4,23.40114,14,1
Where Are You Going,Dave Matthews Band,68,0.444,0.583,7,-8.121,1,0.0259,0.5,0.15,0.105,0.258,97.492,231867,4,61.62661,10,1
Now and Later,Sage The Gemini,68,0.781,0.57,11,-5.874,0,0.188,0.273,0,0.196,0.858,107.059,193181,4,31.72111,11,1
F.U.R.B. (F U Right Back),Frankee,32,0.787,0.632,8,-3.487,1,0.137,0.103,6.78E-06,0.388,0.612,141.026,198173,4,18.091,9,1
Just Another Day,Jon Secada,58,0.717,0.642,1,-10.727,1,0.0287,0.0194,0.000249,0.043,0.732,105.894,327427,4,47.18748,14,1
